unit_name,analysisEpoch,spikeTimes_1,spikeTimes_2,spikeTimes_3,spikeTimes_4,spikeTimes_5,nSpikes,firingRate,trial_index,stmFreq,stmFreqIndx,timewin_s
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,58,10763.4741152475,28,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,59,200,5,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,60,4525.4833995939,23,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,61,141.421356237309,3,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,62,9050.96679918781,27,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,63,1902.73138400435,18,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,64,3805.46276800871,22,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,65,200,5,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,66,2262.74169979695,19,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,50.7366399972088,,,,,1,7.8740157480315,67,565.685424949238,11,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,68,3200,21,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,69,5381.73705762377,24,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,70,1600,17,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,120.193280000647,,,,,1,7.8740157480315,71,282.842712474619,7,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,27.6022399982176,67.4153599982237,69.1766399982153,,,3,23.6220472440945,72,475.682846001088,10,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,28.787039995048,,,,,1,7.8740157480315,73,672.717132202971,12,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,74,1131.37084989848,15,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,26.6175999980042,,,,,1,7.8740157480315,75,951.365692002177,14,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,76,118.920711500272,2,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,25.8519999993732,28.6372799993696,,,,2,15.748031496063,77,800,13,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,78,1345.43426440594,16,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,79,4525.4833995939,23,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,80,6400,25,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,81,7610.92553601741,26,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,82,10763.4741152475,28,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,27.5134399999515,63.1076799999573,86.7006399999518,109.474399999948,,4,31.496062992126,83,336.358566101486,8,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,33.1073599953816,53.9150399953942,75.9105599953909,77.3851199953788,,4,31.496062992126,84,400,9,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,85,12800,29,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,86,15221.8510720348,30,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,87,168.179283050743,4,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,88,237.841423000544,6,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,89,2690.86852881189,20,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,90,100,1,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,91,951.365692002177,14,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,92,4525.4833995939,23,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,60.5174399986136,,,,,1,7.8740157480315,93,3805.46276800871,22,0.127
